timestamp,index,utilization_gpu,memory_used_mib,memory_total_mib
2026-07-15T08:11:29+00:00,0, 4, 4695, 97871
2026-07-15T08:11:29+00:00,1, 0, 3, 97871
2026-07-15T08:11:34+00:00,0, 0, 4695, 97871
2026-07-15T08:11:34+00:00,1, 0, 3, 97871
2026-07-15T08:11:39+00:00,0, 11, 4695, 97871
2026-07-15T08:11:39+00:00,1, 0, 3, 97871
2026-07-15T08:11:44+00:00,0, 44, 4695, 97871
2026-07-15T08:11:44+00:00,1, 0, 3, 97871
2026-07-15T08:11:49+00:00,0, 0, 4695, 97871
2026-07-15T08:11:49+00:00,1, 0, 3, 97871
2026-07-15T08:11:54+00:00,0, 6, 4695, 97871
2026-07-15T08:11:54+00:00,1, 0, 3, 97871
2026-07-15T08:11:59+00:00,0, 5, 4695, 97871
2026-07-15T08:11:59+00:00,1, 0, 3, 97871
2026-07-15T08:12:04+00:00,0, 8, 4695, 97871
2026-07-15T08:12:04+00:00,1, 0, 3, 97871
2026-07-15T08:12:09+00:00,0, 0, 4695, 97871
2026-07-15T08:12:09+00:00,1, 0, 3, 97871
2026-07-15T08:12:15+00:00,0, 17, 4695, 97871
2026-07-15T08:12:15+00:00,1, 0, 3, 97871
2026-07-15T08:12:20+00:00,0, 0, 4695, 97871
2026-07-15T08:12:20+00:00,1, 0, 3, 97871
2026-07-15T08:12:25+00:00,0, 0, 4695, 97871
2026-07-15T08:12:25+00:00,1, 0, 3, 97871
2026-07-15T08:12:30+00:00,0, 31, 4695, 97871
2026-07-15T08:12:30+00:00,1, 0, 3, 97871
2026-07-15T08:12:35+00:00,0, 32, 4695, 97871
2026-07-15T08:12:35+00:00,1, 0, 3, 97871
2026-07-15T08:12:40+00:00,0, 26, 4695, 97871
2026-07-15T08:12:40+00:00,1, 0, 3, 97871
2026-07-15T08:12:45+00:00,0, 0, 4695, 97871
2026-07-15T08:12:45+00:00,1, 0, 3, 97871
2026-07-15T08:12:50+00:00,0, 40, 4695, 97871
2026-07-15T08:12:50+00:00,1, 0, 3, 97871
2026-07-15T08:12:56+00:00,0, 44, 4695, 97871
2026-07-15T08:12:56+00:00,1, 0, 3, 97871
2026-07-15T08:13:01+00:00,0, 11, 4695, 97871
2026-07-15T08:13:01+00:00,1, 0, 3, 97871
2026-07-15T08:13:06+00:00,0, 8, 4695, 97871
2026-07-15T08:13:06+00:00,1, 0, 3, 97871
2026-07-15T08:13:11+00:00,0, 0, 4695, 97871
2026-07-15T08:13:11+00:00,1, 0, 3, 97871
2026-07-15T08:13:16+00:00,0, 13, 4695, 97871
2026-07-15T08:13:16+00:00,1, 0, 3, 97871
2026-07-15T08:13:21+00:00,0, 3, 4695, 97871
2026-07-15T08:13:21+00:00,1, 0, 3, 97871
2026-07-15T08:13:26+00:00,0, 0, 4695, 97871
2026-07-15T08:13:26+00:00,1, 0, 3, 97871
2026-07-15T08:13:31+00:00,0, 0, 4695, 97871
2026-07-15T08:13:31+00:00,1, 0, 3, 97871
2026-07-15T08:13:37+00:00,0, 0, 4695, 97871
2026-07-15T08:13:37+00:00,1, 0, 3, 97871
2026-07-15T08:13:42+00:00,0, 20, 4695, 97871
2026-07-15T08:13:42+00:00,1, 0, 3, 97871
2026-07-15T08:13:47+00:00,0, 7, 4695, 97871
2026-07-15T08:13:47+00:00,1, 0, 3, 97871
2026-07-15T08:13:52+00:00,0, 0, 4695, 97871
2026-07-15T08:13:52+00:00,1, 0, 3, 97871
2026-07-15T08:13:57+00:00,0, 0, 4695, 97871
2026-07-15T08:13:57+00:00,1, 0, 3, 97871
2026-07-15T08:14:02+00:00,0, 0, 4695, 97871
2026-07-15T08:14:02+00:00,1, 0, 3, 97871
2026-07-15T08:14:07+00:00,0, 0, 4695, 97871
2026-07-15T08:14:07+00:00,1, 0, 3, 97871
2026-07-15T08:14:12+00:00,0, 0, 4695, 97871
2026-07-15T08:14:12+00:00,1, 0, 3, 97871
2026-07-15T08:14:17+00:00,0, 29, 4695, 97871
2026-07-15T08:14:17+00:00,1, 0, 3, 97871
2026-07-15T08:14:23+00:00,0, 37, 4695, 97871
2026-07-15T08:14:23+00:00,1, 0, 3, 97871
2026-07-15T08:14:28+00:00,0, 12, 4695, 97871
2026-07-15T08:14:28+00:00,1, 0, 3, 97871
2026-07-15T08:14:33+00:00,0, 42, 4695, 97871
2026-07-15T08:14:33+00:00,1, 0, 3, 97871
2026-07-15T08:14:38+00:00,0, 0, 4695, 97871
2026-07-15T08:14:38+00:00,1, 0, 3, 97871
2026-07-15T08:14:43+00:00,0, 0, 4695, 97871
2026-07-15T08:14:43+00:00,1, 0, 3, 97871
2026-07-15T08:14:48+00:00,0, 0, 4695, 97871
2026-07-15T08:14:48+00:00,1, 0, 3, 97871
2026-07-15T08:14:53+00:00,0, 0, 4695, 97871
2026-07-15T08:14:53+00:00,1, 0, 3, 97871
2026-07-15T08:14:58+00:00,0, 0, 4695, 97871
2026-07-15T08:14:58+00:00,1, 0, 3, 97871
2026-07-15T08:15:03+00:00,0, 0, 4695, 97871
2026-07-15T08:15:03+00:00,1, 0, 3, 97871
2026-07-15T08:15:08+00:00,0, 0, 4695, 97871
2026-07-15T08:15:08+00:00,1, 0, 3, 97871
2026-07-15T08:15:14+00:00,0, 33, 4695, 97871
2026-07-15T08:15:14+00:00,1, 0, 3, 97871
2026-07-15T08:15:19+00:00,0, 20, 4695, 97871
2026-07-15T08:15:19+00:00,1, 0, 3, 97871
2026-07-15T08:15:24+00:00,0, 0, 4695, 97871
2026-07-15T08:15:24+00:00,1, 0, 3, 97871
2026-07-15T08:15:29+00:00,0, 0, 4695, 97871
2026-07-15T08:15:29+00:00,1, 0, 3, 97871
2026-07-15T08:15:34+00:00,0, 43, 4695, 97871
2026-07-15T08:15:34+00:00,1, 0, 3, 97871
2026-07-15T08:15:39+00:00,0, 0, 4695, 97871
2026-07-15T08:15:39+00:00,1, 0, 3, 97871
2026-07-15T08:15:44+00:00,0, 0, 4695, 97871
2026-07-15T08:15:44+00:00,1, 0, 3, 97871
2026-07-15T08:15:49+00:00,0, 0, 4695, 97871
2026-07-15T08:15:49+00:00,1, 0, 3, 97871
2026-07-15T08:15:54+00:00,0, 4, 4695, 97871
2026-07-15T08:15:54+00:00,1, 0, 3, 97871
2026-07-15T08:15:59+00:00,0, 17, 4695, 97871
2026-07-15T08:15:59+00:00,1, 0, 3, 97871
2026-07-15T08:16:05+00:00,0, 0, 4695, 97871
2026-07-15T08:16:05+00:00,1, 0, 3, 97871
2026-07-15T08:16:10+00:00,0, 0, 4695, 97871
2026-07-15T08:16:10+00:00,1, 0, 3, 97871
2026-07-15T08:16:15+00:00,0, 0, 4695, 97871
2026-07-15T08:16:15+00:00,1, 0, 3, 97871
2026-07-15T08:16:20+00:00,0, 3, 4695, 97871
2026-07-15T08:16:20+00:00,1, 0, 3, 97871
2026-07-15T08:16:25+00:00,0, 20, 4695, 97871
2026-07-15T08:16:25+00:00,1, 0, 3, 97871
2026-07-15T08:16:30+00:00,0, 16, 4695, 97871
2026-07-15T08:16:30+00:00,1, 0, 3, 97871
2026-07-15T08:16:35+00:00,0, 0, 4695, 97871
2026-07-15T08:16:35+00:00,1, 0, 3, 97871
2026-07-15T08:16:41+00:00,0, 0, 4695, 97871
2026-07-15T08:16:41+00:00,1, 0, 3, 97871
2026-07-15T08:16:46+00:00,0, 0, 4695, 97871
2026-07-15T08:16:46+00:00,1, 0, 3, 97871
2026-07-15T08:16:51+00:00,0, 0, 4695, 97871
2026-07-15T08:16:51+00:00,1, 0, 3, 97871
2026-07-15T08:16:56+00:00,0, 0, 4695, 97871
2026-07-15T08:16:56+00:00,1, 0, 3, 97871
2026-07-15T08:17:01+00:00,0, 0, 4695, 97871
2026-07-15T08:17:01+00:00,1, 0, 3, 97871
2026-07-15T08:17:06+00:00,0, 29, 4695, 97871
2026-07-15T08:17:06+00:00,1, 0, 3, 97871
2026-07-15T08:17:11+00:00,0, 40, 4695, 97871
2026-07-15T08:17:11+00:00,1, 0, 3, 97871
2026-07-15T08:17:16+00:00,0, 0, 4697, 97871
2026-07-15T08:17:16+00:00,1, 0, 3, 97871
2026-07-15T08:17:21+00:00,0, 0, 4697, 97871
2026-07-15T08:17:21+00:00,1, 0, 3, 97871
2026-07-15T08:17:27+00:00,0, 0, 4697, 97871
2026-07-15T08:17:27+00:00,1, 0, 3, 97871
2026-07-15T08:17:32+00:00,0, 0, 4697, 97871
2026-07-15T08:17:32+00:00,1, 0, 3, 97871
2026-07-15T08:17:37+00:00,0, 0, 4697, 97871
2026-07-15T08:17:37+00:00,1, 0, 3, 97871
2026-07-15T08:17:42+00:00,0, 0, 4697, 97871
2026-07-15T08:17:42+00:00,1, 0, 3, 97871
2026-07-15T08:17:47+00:00,0, 29, 4697, 97871
